event_id,timestamp,child_id,event_type,source_system,event_description,witness_verified,impact_score,nice_score_delta,running_score,percentile_rank,gift_tier_recommendation,special_badge,location_country,age_group,privacy_consent,data_quality_score
EVT_2025_0000000436,2025-10-26 16:50:13.929339,CH_BZ_69972,KINDNESS_ACT,MALL_SANTA_NETWORK,kindness act observed,True,2.8,2.8,52.8,82.4,BASIC,,Heard Island and McDonald Islands,6-8,True,0.71
EVT_2025_0000000711,2025-10-26 18:00:05.241170,CH_HN_78277,SHARING,ELF_SURVEILLANCE,sharing observed,False,1.1,1.1,51.1,61.5,BASIC,,Mozambique,3-5,True,0.76
EVT_2025_0000000611,2025-10-26 19:03:45.541709,CH_BT_21419,SHARING,PARENT_PORTAL,sharing observed,False,1.8,1.8,51.8,20.4,BASIC,,France,6-8,True,0.77
EVT_2025_0000000688,2025-10-26 19:36:54.095902,CH_KH_92246,CHORES_DONE,ELF_SURVEILLANCE,chores done observed,False,0.7,0.7,50.7,96.5,BASIC,,French Guiana,6-8,True,0.8
EVT_2025_0000000334,2025-10-26 19:46:54.491397,CH_LU_20262,HOMEWORK_COMPLETE,ELF_SURVEILLANCE,homework complete observed,True,1.1,1.1,51.1,44.2,BASIC,,Cayman Islands,12-14,True,0.87
EVT_2025_0000000226,2025-10-26 19:49:06.676946,CH_SM_71232,CHORES_DONE,SMART_TOY_TELEMETRY,chores done observed,True,1.0,1.0,51.0,28.0,BASIC,,Guinea-Bissau,9-11,True,0.99
EVT_2025_0000000889,2025-10-26 20:02:41.663735,CH_SD_33533,SHARING,SMART_TOY_TELEMETRY,sharing observed,True,1.1,1.1,51.1,60.9,BASIC,,New Caledonia,9-11,True,1.0
EVT_2025_0000000893,2025-10-26 22:12:42.486057,CH_BA_70473,KINDNESS_ACT,ELF_SURVEILLANCE,kindness act observed,False,2.9,2.9,52.9,4.9,BASIC,,Tajikistan,9-11,True,0.92
EVT_2025_0000000237,2025-10-26 23:06:29.986842,CH_PG_80265,HELPING_OTHERS,MALL_SANTA_NETWORK,helping others observed,False,2.6,2.6,52.6,80.4,BASIC,,Mauritania,9-11,True,0.9
EVT_2025_0000000236,2025-10-26 23:13:43.810440,CH_RW_43572,SHARING,TEACHER_REPORT,sharing observed,False,2.9,2.9,52.9,19.0,BASIC,,French Polynesia,3-5,True,0.79
EVT_2025_0000000472,2025-10-26 23:14:39.039896,CH_PK_12868,SHARING,MALL_SANTA_NETWORK,sharing observed,True,1.9,1.9,51.9,64.6,BASIC,,Niger,12-14,True,0.91
EVT_2025_0000000295,2025-10-26 23:41:39.905698,CH_ME_78217,HOMEWORK_COMPLETE,SMART_TOY_TELEMETRY,homework complete observed,True,0.6,0.6,50.6,14.9,BASIC,,Heard Island and McDonald Islands,12-14,True,0.91
EVT_2025_0000000417,2025-10-26 23:45:51.674976,CH_AL_79702,KINDNESS_ACT,ELF_SURVEILLANCE,kindness act observed,True,3.0,3.0,53.0,35.5,BASIC,,Syrian Arab Republic,3-5,True,0.7
EVT_2025_0000000886,2025-10-26 23:47:50.480161,CH_CU_96653,HELPING_OTHERS,PARENT_PORTAL,helping others observed,True,3.7,3.7,53.7,70.1,BASIC,,India,12-14,True,0.81
EVT_2025_0000000382,2025-10-26 23:51:51.176716,CH_HT_26145,HELPING_OTHERS,PARENT_PORTAL,helping others observed,True,3.5,3.5,53.5,58.7,BASIC,,Antarctica (the territory South of 60 deg S),9-11,True,0.99
EVT_2025_0000000774,2025-10-27 01:38:31.824687,CH_KZ_92966,KINDNESS_ACT,TEACHER_REPORT,kindness act observed,True,1.4,1.4,51.4,11.3,BASIC,,Greece,3-5,True,0.9
EVT_2025_0000000965,2025-10-27 01:39:40.516995,CH_ZW_83883,CHORES_DONE,TEACHER_REPORT,chores done observed,True,1.5,1.5,51.5,25.9,BASIC,,Montenegro,6-8,True,1.0
EVT_2025_0000000026,2025-10-27 02:06:29.493247,CH_SI_39168,TANTRUM,MALL_SANTA_NETWORK,tantrum observed,True,2.1,-2.1,47.9,36.0,BASIC,,Somalia,3-5,True,0.76
EVT_2025_0000000555,2025-10-27 03:08:06.336974,CH_AZ_81979,HELPING_OTHERS,PARENT_PORTAL,helping others observed,False,2.4,2.4,52.4,40.9,BASIC,,Singapore,9-11,True,1.0
EVT_2025_0000000329,2025-10-27 03:47:11.493612,CH_BB_32923,CHORES_DONE,TEACHER_REPORT,chores done observed,True,1.1,1.1,51.1,27.6,BASIC,,Czech Republic,3-5,True,0.76
EVT_2025_0000000172,2025-10-27 04:15:47.017044,CH_KE_16952,KINDNESS_ACT,SMART_TOY_TELEMETRY,kindness act observed,True,5.0,5.0,55.0,69.2,BASIC,KINDNESS_STAR,Timor-Leste,3-5,True,0.86
EVT_2025_0000000705,2025-10-27 04:54:01.533892,CH_AU_69296,HELPING_OTHERS,MALL_SANTA_NETWORK,helping others observed,True,3.8,3.8,53.8,98.8,BASIC,,India,6-8,True,0.76
EVT_2025_0000000925,2025-10-27 04:57:14.280686,CH_BW_23018,TANTRUM,TEACHER_REPORT,tantrum observed,True,3.0,-3.0,47.0,49.0,BASIC,,Mozambique,12-14,True,0.81
EVT_2025_0000000767,2025-10-27 05:30:46.859562,CH_BI_47368,HELPING_OTHERS,MALL_SANTA_NETWORK,helping others observed,True,3.5,3.5,53.5,66.4,BASIC,,Grenada,12-14,True,0.73
EVT_2025_0000000572,2025-10-27 05:41:19.851798,CH_PA_75790,KINDNESS_ACT,ELF_SURVEILLANCE,kindness act observed,True,3.2,3.2,53.2,9.5,BASIC,KINDNESS_STAR,Brazil,12-14,True,0.84
EVT_2025_0000000121,2025-10-27 06:59:26.075500,CH_MR_46082,KINDNESS_ACT,SMART_TOY_TELEMETRY,kindness act observed,True,2.7,2.7,52.7,10.8,BASIC,,Vietnam,3-5,True,0.73
EVT_2025_0000000895,2025-10-27 06:59:44.948107,CH_MX_40361,HELPING_OTHERS,TEACHER_REPORT,helping others observed,True,3.7,3.7,53.7,97.4,BASIC,,Taiwan,3-5,True,0.92
EVT_2025_0000000623,2025-10-27 07:10:44.856520,CH_ML_98623,CHORES_DONE,PARENT_PORTAL,chores done observed,True,0.7,0.7,50.7,80.3,BASIC,,Morocco,6-8,True,0.8
EVT_2025_0000000421,2025-10-27 07:45:37.790908,CH_SK_52945,HOMEWORK_COMPLETE,SMART_TOY_TELEMETRY,homework complete observed,True,0.8,0.8,50.8,75.3,BASIC,,United States of America,3-5,True,0.98
EVT_2025_0000000198,2025-10-27 07:47:41.704727,CH_NE_60662,LYING,SMART_TOY_TELEMETRY,lying observed,False,3.6,-3.6,46.4,75.0,BASIC,,Mozambique,12-14,True,0.79
EVT_2025_0000000761,2025-10-27 08:24:22.528471,CH_AR_19704,HOMEWORK_COMPLETE,TEACHER_REPORT,homework complete observed,True,0.9,0.9,50.9,75.7,BASIC,,Equatorial Guinea,12-14,True,0.75
EVT_2025_0000000885,2025-10-27 09:31:01.104248,CH_NL_91480,KINDNESS_ACT,MALL_SANTA_NETWORK,kindness act observed,True,3.2,3.2,53.2,26.1,BASIC,KINDNESS_STAR,Mauritius,3-5,True,0.84
EVT_2025_0000000280,2025-10-27 10:00:05.607760,CH_PG_32303,SHARING,SMART_TOY_TELEMETRY,sharing observed,True,2.1,2.1,52.1,93.4,BASIC,,Grenada,9-11,True,0.9
EVT_2025_0000000855,2025-10-27 10:13:42.763914,CH_TM_74787,CHORES_DONE,TEACHER_REPORT,chores done observed,True,1.8,1.8,51.8,44.4,BASIC,,Cote d'Ivoire,12-14,True,0.98
EVT_2025_0000000085,2025-10-27 10:34:04.384770,CH_KG_73474,CHORES_DONE,PARENT_PORTAL,chores done observed,True,1.0,1.0,51.0,97.3,BASIC,,Solomon Islands,6-8,True,0.95
EVT_2025_0000000160,2025-10-27 10:38:25.940525,CH_MN_24676,HOMEWORK_COMPLETE,MALL_SANTA_NETWORK,homework complete observed,True,2.0,2.0,52.0,22.6,BASIC,,Tunisia,9-11,True,0.71
EVT_2025_0000000578,2025-10-27 10:47:33.180228,CH_FI_96573,HOMEWORK_COMPLETE,MALL_SANTA_NETWORK,homework complete observed,True,1.8,1.8,51.8,47.1,BASIC,,Thailand,12-14,True,0.98
EVT_2025_0000000221,2025-10-27 10:48:18.096111,CH_SI_71224,SHARING,SMART_TOY_TELEMETRY,sharing observed,True,1.4,1.4,51.4,76.8,BASIC,,Isle of Man,12-14,True,0.9
EVT_2025_0000000904,2025-10-27 11:24:41.720843,CH_MT_12787,KINDNESS_ACT,MALL_SANTA_NETWORK,kindness act observed,False,4.4,4.4,54.4,2.9,BASIC,KINDNESS_STAR,Western Sahara,6-8,True,0.92
EVT_2025_0000000668,2025-10-27 11:50:57.699382,CH_UG_24446,HELPING_OTHERS,PARENT_PORTAL,helping others observed,True,3.3,3.3,53.3,6.6,BASIC,,Argentina,3-5,True,0.72
EVT_2025_0000000347,2025-10-27 12:29:14.001673,CH_BB_31897,CHORES_DONE,SMART_TOY_TELEMETRY,chores done observed,True,0.8,0.8,50.8,43.0,BASIC,,Armenia,3-5,True,0.93
EVT_2025_0000000694,2025-10-27 15:02:48.769781,CH_HU_61242,KINDNESS_ACT,SMART_TOY_TELEMETRY,kindness act observed,False,3.3,3.3,53.3,84.7,BASIC,KINDNESS_STAR,Dominican Republic,9-11,True,0.71
EVT_2025_0000000847,2025-10-27 15:03:26.684028,CH_KW_94768,HOMEWORK_COMPLETE,SMART_TOY_TELEMETRY,homework complete observed,True,1.2,1.2,51.2,10.3,BASIC,,Singapore,9-11,True,0.93
EVT_2025_0000000566,2025-10-27 16:31:46.704754,CH_GD_97491,CHORES_DONE,ELF_SURVEILLANCE,chores done observed,True,0.8,0.8,50.8,77.0,BASIC,,Djibouti,6-8,True,0.8
EVT_2025_0000000957,2025-10-27 16:49:25.254312,CH_ET_89401,LYING,MALL_SANTA_NETWORK,lying observed,True,2.2,-2.2,47.8,53.2,BASIC,,Malaysia,3-5,True,0.72
EVT_2025_0000000357,2025-10-27 17:04:58.072220,CH_CV_80372,KINDNESS_ACT,MALL_SANTA_NETWORK,kindness act observed,False,4.2,4.2,54.2,61.2,BASIC,KINDNESS_STAR,San Marino,12-14,True,0.88
EVT_2025_0000000112,2025-10-27 17:29:24.503627,CH_ZA_37032,SHARING,PARENT_PORTAL,sharing observed,True,1.4,1.4,51.4,83.4,BASIC,,Panama,6-8,True,0.74
EVT_2025_0000000149,2025-10-27 18:36:31.204170,CH_TV_36435,KINDNESS_ACT,ELF_SURVEILLANCE,kindness act observed,True,1.0,1.0,51.0,59.7,BASIC,,Uruguay,12-14,True,0.8
EVT_2025_0000000093,2025-10-27 19:22:07.115267,CH_JP_44708,KINDNESS_ACT,PARENT_PORTAL,kindness act observed,True,1.1,1.1,51.1,23.3,BASIC,,Japan,3-5,True,0.9
EVT_2025_0000000930,2025-10-27 19:45:19.053057,CH_CL_59792,KINDNESS_ACT,ELF_SURVEILLANCE,kindness act observed,False,3.1,3.1,53.1,24.8,BASIC,KINDNESS_STAR,Egypt,6-8,True,0.98
