simulation_id,segment_id,timestamp,start_city,start_latitude,start_longitude,end_city,end_latitude,end_longitude,distance_km,households_count,chimneys_available,alternative_entries,optimal_arrival_hour,delivery_window_minutes,ms_per_household,weather_condition,weather_delay_minutes,fuel_stops_required,presents_weight_tons,optimization_algorithm,optimization_score,elf_support_teams,contingency_routes,real_time_tracking,carbon_offset_tons
SIM_2025_V8_000282,SEG_MOS_SYD_0282,2025-11-18 16:31:40.008535,Moscow,55.7558,37.6173,Sydney,-33.8688,151.2093,16061.0,6400000,4689706,1710294,21,220,2.1,RAIN,0,3,12800.0,GENETIC,0.763,14,1,True,1.61
SIM_2025_V3_000741,SEG_SYD_CAI_0741,2025-11-18 17:19:52.553519,Sydney,-33.8688,151.2093,Cairo,30.0444,31.2357,15089.0,5300000,3548944,1751056,23,160,3.2,LIGHT_SNOW,26,3,10600.0,A_STAR,0.866,13,1,True,1.51
SIM_2025_V7_000603,SEG_TOK_LON_0603,2025-11-18 17:52:11.209504,Tokyo,35.6762,139.6503,London,51.5074,-0.1278,15615.0,7700000,6116212,1583788,20,215,2.2,HEAVY_SNOW,22,3,15400.0,A_STAR,0.99,9,2,True,1.56
SIM_2025_V2_000230,SEG_MOS_TOR_0230,2025-11-18 17:56:47.105086,Moscow,55.7558,37.6173,Toronto,43.6532,-79.3832,13056.0,6700000,4832467,1867533,23,132,3.5,FOG,0,2,13400.0,GENETIC,0.879,12,1,True,1.31
SIM_2025_V2_000739,SEG_LON_MOS_0739,2025-11-18 18:04:21.090296,London,51.5074,-0.1278,Moscow,55.7558,37.6173,4216.0,7800000,4871479,2928521,20,169,1.9,FOG,0,0,15600.0,GENETIC,0.816,6,2,True,0.42
SIM_2025_V1_000619,SEG_PAR_MOS_0619,2025-11-18 18:07:56.896319,Paris,48.8566,2.3522,Moscow,55.7558,37.6173,3989.0,6800000,4908402,1891598,22,124,3.1,RAIN,0,0,13600.0,DIJKSTRA,0.83,13,3,True,0.4
SIM_2025_V1_000699,SEG_CAI_PAR_0699,2025-11-18 18:30:38.437678,Cairo,30.0444,31.2357,Paris,48.8566,2.3522,3826.0,5700000,4124312,1575688,20,225,3.1,CLOUDY,0,0,11400.0,QUANTUM,0.856,16,1,True,0.38
SIM_2025_V2_000218,SEG_TOK_TOR_0218,2025-11-18 18:54:53.799211,Tokyo,35.6762,139.6503,Toronto,43.6532,-79.3832,24329.0,6600000,4612642,1987358,21,163,1.9,FOG,14,4,13200.0,A_STAR,0.786,13,1,True,2.43
SIM_2025_V9_000827,SEG_LON_MUM_0827,2025-11-18 18:55:51.694264,London,51.5074,-0.1278,Mumbai,19.076,72.8777,8867.0,7400000,5513665,1886335,23,209,2.0,CLEAR,0,1,14800.0,GENETIC,0.987,5,2,True,0.89
SIM_2025_V6_000662,SEG_LON_PAR_0662,2025-11-18 18:57:39.732152,London,51.5074,-0.1278,Paris,48.8566,2.3522,403.0,5400000,3368999,2031001,20,134,1.5,RAIN,0,0,10800.0,QUANTUM,0.873,7,1,True,0.04
SIM_2025_V5_000125,SEG_LON_SYD_0125,2025-11-18 19:02:57.147489,London,51.5074,-0.1278,Sydney,-33.8688,151.2093,19287.0,5000000,3063603,1936397,23,202,2.1,HEAVY_SNOW,0,3,10000.0,QUANTUM,0.803,15,1,True,1.93
SIM_2025_V9_000435,SEG_TOR_MUM_0435,2025-11-18 19:09:51.867236,Toronto,43.6532,-79.3832,Mumbai,19.076,72.8777,17120.0,6300000,4901276,1398724,23,127,1.7,LIGHT_SNOW,1,3,12600.0,GENETIC,0.939,15,2,True,1.71
SIM_2025_V1_000029,SEG_TOR_LON_0029,2025-11-18 19:10:06.766452,Toronto,43.6532,-79.3832,London,51.5074,-0.1278,8840.0,5300000,3836233,1463767,20,149,1.9,CLEAR,10,1,10600.0,QUANTUM,0.962,5,3,True,0.88
SIM_2025_V5_000489,SEG_TOR_MUM_0489,2025-11-18 19:12:03.034096,Toronto,43.6532,-79.3832,Mumbai,19.076,72.8777,17120.0,6300000,4110207,2189793,21,120,1.6,FOG,23,3,12600.0,A_STAR,0.804,12,3,True,1.71
SIM_2025_V4_000314,SEG_SÃO_TOR_0314,2025-11-18 19:12:15.155137,São Paulo,-23.5505,-46.6333,Toronto,43.6532,-79.3832,8298.0,6100000,3877035,2222965,22,138,2.8,LIGHT_SNOW,0,1,12200.0,GENETIC,0.944,7,2,True,0.83
SIM_2025_V8_000468,SEG_TOK_TOR_0468,2025-11-18 19:12:27.175637,Tokyo,35.6762,139.6503,Toronto,43.6532,-79.3832,24329.0,6600000,4726847,1873153,21,202,3.1,CLOUDY,0,4,13200.0,DIJKSTRA,0.862,13,2,True,2.43
SIM_2025_V6_000721,SEG_CAI_LON_0721,2025-11-18 19:24:00.951066,Cairo,30.0444,31.2357,London,51.5074,-0.1278,4218.0,6700000,4882528,1817472,20,181,3.4,WIND,0,0,13400.0,A_STAR,0.947,19,2,True,0.42
SIM_2025_V7_000756,SEG_SÃO_MOS_0756,2025-11-18 19:29:14.203804,São Paulo,-23.5505,-46.6333,Moscow,55.7558,37.6173,12843.0,8600000,5760936,2839064,22,124,3.5,WIND,0,2,17200.0,DIJKSTRA,0.794,8,3,True,1.28
SIM_2025_V8_000809,SEG_MUM_MOS_0809,2025-11-18 19:31:29.981398,Mumbai,19.076,72.8777,Moscow,55.7558,37.6173,5648.0,8800000,5352240,3447760,21,239,1.8,CLEAR,4,1,17600.0,QUANTUM,0.768,9,1,True,0.56
SIM_2025_V8_000132,SEG_TOK_CAI_0132,2025-11-18 19:34:26.530069,Tokyo,35.6762,139.6503,Cairo,30.0444,31.2357,12050.0,8000000,5023228,2976772,21,218,2.0,CLEAR,0,2,16000.0,GENETIC,0.948,19,3,True,1.2
SIM_2025_V9_000966,SEG_SÃO_TOR_0966,2025-11-18 19:36:45.543170,São Paulo,-23.5505,-46.6333,Toronto,43.6532,-79.3832,8298.0,6100000,3737190,2362810,21,163,2.6,WIND,0,1,12200.0,DIJKSTRA,0.757,16,1,True,0.83
SIM_2025_V8_000263,SEG_TOK_LON_0263,2025-11-18 19:53:28.086320,Tokyo,35.6762,139.6503,London,51.5074,-0.1278,15615.0,7700000,5170264,2529736,23,141,2.7,WIND,0,3,15400.0,DIJKSTRA,0.774,8,2,True,1.56
SIM_2025_V5_000896,SEG_TOK_MOS_0896,2025-11-18 20:12:55.067603,Tokyo,35.6762,139.6503,Moscow,55.7558,37.6173,11543.0,9100000,6549109,2550891,22,212,2.6,WIND,0,2,18200.0,GENETIC,0.978,16,1,True,1.15
SIM_2025_V5_000088,SEG_PAR_MOS_0088,2025-11-18 20:13:27.766938,Paris,48.8566,2.3522,Moscow,55.7558,37.6173,3989.0,6800000,4439313,2360687,21,170,2.3,CLOUDY,0,0,13600.0,A_STAR,0.774,5,3,True,0.4
SIM_2025_V2_000623,SEG_PAR_SÃO_0623,2025-11-18 20:33:30.117314,Paris,48.8566,2.3522,São Paulo,-23.5505,-46.6333,9704.0,6200000,4891148,1308852,23,158,1.9,CLOUDY,0,1,12400.0,A_STAR,0.875,12,2,True,0.97
SIM_2025_V6_000517,SEG_TOK_SÃO_0517,2025-11-18 20:48:01.226930,Tokyo,35.6762,139.6503,São Paulo,-23.5505,-46.6333,21697.0,8500000,6013092,2486908,23,165,3.0,WIND,0,4,17000.0,QUANTUM,0.929,12,3,True,2.17
SIM_2025_V8_000617,SEG_SYD_PAR_0617,2025-11-18 21:10:49.614388,Sydney,-33.8688,151.2093,Paris,48.8566,2.3522,18903.0,4000000,3192030,807970,22,190,2.6,WIND,0,3,8000.0,A_STAR,0.853,12,2,True,1.89
SIM_2025_V10_000864,SEG_TOK_PAR_0864,2025-11-18 21:31:08.827909,Tokyo,35.6762,139.6503,Paris,48.8566,2.3522,15310.0,6700000,4864353,1835647,23,218,2.6,WIND,0,3,13400.0,GENETIC,0.893,8,1,True,1.53
SIM_2025_V5_000066,SEG_LON_TOR_0066,2025-11-18 21:52:33.254776,London,51.5074,-0.1278,Toronto,43.6532,-79.3832,8840.0,5300000,3931651,1368349,20,169,2.9,RAIN,0,1,10600.0,GENETIC,0.868,10,2,True,0.88
SIM_2025_V5_000758,SEG_MUM_CAI_0758,2025-11-18 22:03:32.108008,Mumbai,19.076,72.8777,Cairo,30.0444,31.2357,4780.0,7700000,4726790,2973210,23,172,1.8,HEAVY_SNOW,11,0,15400.0,DIJKSTRA,0.784,16,1,True,0.48
SIM_2025_V10_000663,SEG_MUM_MOS_0663,2025-11-18 22:05:55.336337,Mumbai,19.076,72.8777,Moscow,55.7558,37.6173,5648.0,8800000,5404843,3395157,20,195,2.9,RAIN,13,1,17600.0,DIJKSTRA,0.866,18,2,True,0.56
SIM_2025_V1_000730,SEG_SÃO_CAI_0730,2025-11-18 22:07:05.763685,São Paulo,-23.5505,-46.6333,Cairo,30.0444,31.2357,10493.0,7500000,5920276,1579724,21,225,3.2,RAIN,17,2,15000.0,QUANTUM,0.82,16,1,True,1.05
SIM_2025_V4_000249,SEG_SÃO_NEW_0249,2025-11-18 22:10:42.542588,São Paulo,-23.5505,-46.6333,New York,40.7128,-74.006,7753.0,7000000,5350125,1649875,23,172,3.2,RAIN,0,1,14000.0,A_STAR,0.804,9,3,True,0.78
SIM_2025_V4_000486,SEG_TOR_MOS_0486,2025-11-18 22:18:38.852739,Toronto,43.6532,-79.3832,Moscow,55.7558,37.6173,13056.0,6700000,5343923,1356077,20,232,1.5,WIND,0,2,13400.0,A_STAR,0.817,11,1,True,1.31
SIM_2025_V5_000167,SEG_SÃO_SYD_0167,2025-11-18 22:19:52.427043,São Paulo,-23.5505,-46.6333,Sydney,-33.8688,151.2093,21990.0,5800000,4319093,1480907,20,191,2.4,WIND,4,4,11600.0,GENETIC,0.94,17,3,True,2.2
SIM_2025_V9_000232,SEG_MUM_NEW_0232,2025-11-18 22:45:49.493708,Mumbai,19.076,72.8777,New York,40.7128,-74.006,16480.0,7200000,5682197,1517803,20,215,2.4,HEAVY_SNOW,0,3,14400.0,GENETIC,0.796,13,2,True,1.65
SIM_2025_V3_000917,SEG_CAI_TOK_0917,2025-11-18 23:01:28.353058,Cairo,30.0444,31.2357,Tokyo,35.6762,139.6503,12050.0,8000000,5564403,2435597,20,208,2.0,CLEAR,0,2,16000.0,GENETIC,0.763,9,1,True,1.2
SIM_2025_V6_000507,SEG_LON_TOK_0507,2025-11-18 23:42:57.980000,London,51.5074,-0.1278,Tokyo,35.6762,139.6503,15615.0,7700000,5764645,1935355,23,164,2.3,RAIN,0,3,15400.0,DIJKSTRA,0.961,18,2,True,1.56
SIM_2025_V4_000962,SEG_TOR_LON_0962,2025-11-18 23:56:23.581422,Toronto,43.6532,-79.3832,London,51.5074,-0.1278,8840.0,5300000,4131191,1168809,20,207,2.6,WIND,0,1,10600.0,A_STAR,0.815,17,2,True,0.88
SIM_2025_V5_000438,SEG_TOK_LON_0438,2025-11-18 23:56:49.936680,Tokyo,35.6762,139.6503,London,51.5074,-0.1278,15615.0,7700000,5808536,1891464,22,240,2.0,CLEAR,0,3,15400.0,A_STAR,0.91,7,3,True,1.56
SIM_2025_V4_000344,SEG_CAI_SYD_0344,2025-11-18 23:58:14.815557,Cairo,30.0444,31.2357,Sydney,-33.8688,151.2093,15089.0,5300000,4081576,1218424,22,138,2.1,CLEAR,0,3,10600.0,GENETIC,0.91,9,1,True,1.51
SIM_2025_V9_000764,SEG_PAR_CAI_0764,2025-11-19 00:00:08.815583,Paris,48.8566,2.3522,Cairo,30.0444,31.2357,3826.0,5700000,3451330,2248670,20,212,2.5,FOG,0,0,11400.0,A_STAR,0.776,12,3,True,0.38
SIM_2025_V6_000712,SEG_PAR_SYD_0712,2025-11-19 00:05:00.588700,Paris,48.8566,2.3522,Sydney,-33.8688,151.2093,18903.0,4000000,3184642,815358,20,215,2.3,WIND,21,3,8000.0,GENETIC,0.972,15,3,True,1.89
SIM_2025_V9_000984,SEG_MUM_LON_0984,2025-11-19 00:05:06.576464,Mumbai,19.076,72.8777,London,51.5074,-0.1278,8867.0,7400000,5657516,1742484,20,163,3.0,HEAVY_SNOW,0,1,14800.0,A_STAR,0.919,16,2,True,0.89
SIM_2025_V7_000212,SEG_CAI_SÃO_0212,2025-11-19 00:09:13.143545,Cairo,30.0444,31.2357,São Paulo,-23.5505,-46.6333,10493.0,7500000,5026616,2473384,23,238,1.9,LIGHT_SNOW,0,2,15000.0,QUANTUM,0.972,5,3,True,1.05
SIM_2025_V2_000702,SEG_NEW_MOS_0702,2025-11-19 00:15:39.299116,New York,40.7128,-74.006,Moscow,55.7558,37.6173,12502.0,7600000,5382887,2217113,21,196,1.9,CLEAR,0,2,15200.0,QUANTUM,0.829,8,1,True,1.25
SIM_2025_V6_000276,SEG_PAR_CAI_0276,2025-11-19 00:20:08.760896,Paris,48.8566,2.3522,Cairo,30.0444,31.2357,3826.0,5700000,3449989,2250011,21,236,2.1,FOG,0,0,11400.0,QUANTUM,0.849,18,1,True,0.38
SIM_2025_V5_000958,SEG_MUM_SÃO_0958,2025-11-19 00:28:11.523139,Mumbai,19.076,72.8777,São Paulo,-23.5505,-46.6333,14084.0,8200000,5717312,2482688,20,192,1.5,CLOUDY,0,2,16400.0,DIJKSTRA,0.778,18,3,True,1.41
SIM_2025_V3_000843,SEG_MOS_SYD_0843,2025-11-19 00:45:19.308679,Moscow,55.7558,37.6173,Sydney,-33.8688,151.2093,16061.0,6400000,3975032,2424968,21,129,2.1,FOG,0,3,12800.0,A_STAR,0.85,6,1,True,1.61
SIM_2025_V10_000725,SEG_SYD_PAR_0725,2025-11-19 00:53:17.251289,Sydney,-33.8688,151.2093,Paris,48.8566,2.3522,18903.0,4000000,3030170,969830,20,120,1.8,LIGHT_SNOW,17,3,8000.0,A_STAR,0.792,11,1,True,1.89
SIM_2025_V7_000432,SEG_LON_TOK_0432,2025-11-19 01:20:48.413874,London,51.5074,-0.1278,Tokyo,35.6762,139.6503,15615.0,7700000,5275556,2424444,20,167,3.2,WIND,0,3,15400.0,GENETIC,0.851,5,1,True,1.56
SIM_2025_V8_000819,SEG_SYD_CAI_0819,2025-11-19 01:31:27.448356,Sydney,-33.8688,151.2093,Cairo,30.0444,31.2357,15089.0,5300000,3330304,1969696,23,175,2.0,FOG,22,3,10600.0,GENETIC,0.875,5,3,True,1.51
SIM_2025_V4_000148,SEG_PAR_CAI_0148,2025-11-19 01:38:51.523924,Paris,48.8566,2.3522,Cairo,30.0444,31.2357,3826.0,5700000,3431865,2268135,23,142,1.6,CLEAR,0,0,11400.0,A_STAR,0.976,14,1,True,0.38
SIM_2025_V10_000107,SEG_MOS_PAR_0107,2025-11-19 01:46:36.005723,Moscow,55.7558,37.6173,Paris,48.8566,2.3522,3989.0,6800000,4114398,2685602,20,143,3.0,FOG,0,0,13600.0,QUANTUM,0.934,16,2,True,0.4
SIM_2025_V8_000575,SEG_CAI_SYD_0575,2025-11-19 02:14:19.697729,Cairo,30.0444,31.2357,Sydney,-33.8688,151.2093,15089.0,5300000,3455706,1844294,23,217,2.1,WIND,0,3,10600.0,DIJKSTRA,0.757,17,2,True,1.51
SIM_2025_V2_000260,SEG_TOR_NEW_0260,2025-11-19 02:20:06.519993,Toronto,43.6532,-79.3832,New York,40.7128,-74.006,680.0,5100000,3440992,1659008,22,132,2.1,FOG,11,0,10200.0,GENETIC,0.764,14,3,True,0.07
SIM_2025_V9_000420,SEG_MUM_NEW_0420,2025-11-19 02:42:39.149449,Mumbai,19.076,72.8777,New York,40.7128,-74.006,16480.0,7200000,4620128,2579872,22,134,2.9,LIGHT_SNOW,0,3,14400.0,GENETIC,0.888,6,3,True,1.65
SIM_2025_V7_000041,SEG_MUM_TOK_0041,2025-11-19 02:50:07.106333,Mumbai,19.076,72.8777,Tokyo,35.6762,139.6503,7637.0,8700000,5780324,2919676,21,133,1.6,HEAVY_SNOW,13,1,17400.0,GENETIC,0.818,7,3,True,0.76
SIM_2025_V3_000200,SEG_SÃO_TOR_0200,2025-11-19 02:52:25.096328,São Paulo,-23.5505,-46.6333,Toronto,43.6532,-79.3832,8298.0,6100000,4230011,1869989,20,238,2.5,LIGHT_SNOW,13,1,12200.0,QUANTUM,0.876,20,3,True,0.83
SIM_2025_V7_000894,SEG_TOR_MUM_0894,2025-11-19 03:14:35.757227,Toronto,43.6532,-79.3832,Mumbai,19.076,72.8777,17120.0,6300000,4631757,1668243,22,159,1.6,FOG,25,3,12600.0,QUANTUM,0.856,14,2,True,1.71
SIM_2025_V8_000482,SEG_NEW_LON_0482,2025-11-19 03:16:53.001337,New York,40.7128,-74.006,London,51.5074,-0.1278,8288.0,6200000,4823337,1376663,23,161,3.0,LIGHT_SNOW,16,1,12400.0,GENETIC,0.759,5,2,True,0.83
SIM_2025_V7_000053,SEG_MUM_MOS_0053,2025-11-19 03:17:03.177523,Mumbai,19.076,72.8777,Moscow,55.7558,37.6173,5648.0,8800000,6563364,2236636,22,212,2.0,CLOUDY,0,1,17600.0,DIJKSTRA,0.802,6,3,True,0.56
SIM_2025_V2_000923,SEG_MUM_TOR_0923,2025-11-19 04:02:44.167414,Mumbai,19.076,72.8777,Toronto,43.6532,-79.3832,17120.0,6300000,4452245,1847755,21,135,2.2,WIND,4,3,12600.0,GENETIC,0.884,12,1,True,1.71
SIM_2025_V7_000911,SEG_CAI_SYD_0911,2025-11-19 04:08:42.445946,Cairo,30.0444,31.2357,Sydney,-33.8688,151.2093,15089.0,5300000,4070996,1229004,22,138,3.0,LIGHT_SNOW,12,3,10600.0,DIJKSTRA,0.785,16,3,True,1.51
SIM_2025_V8_000304,SEG_PAR_MOS_0304,2025-11-19 04:13:50.793882,Paris,48.8566,2.3522,Moscow,55.7558,37.6173,3989.0,6800000,4153239,2646761,21,127,2.5,LIGHT_SNOW,0,0,13600.0,A_STAR,0.978,19,2,True,0.4
