request_id,timestamp,child_id,latitude,longitude,country,timezone,letter_text,primary_gift_category,gift_count,sentiment_score,urgency_level,language_code,delivery_preference,extracted_gifts_json
REQ_2025_00000002,2025-10-26T16:38:01.310Z,CH_IQ_30379,10.214220933128578,38.64867388491639,Ethiopia,Africa/Gaborone,"Dear Santa, I have been very very good this year. For Christmas, I would really like skateboard and maybe basketball. I promise to be kind to others. Love, Derrick",SPORTS,3,0.686,3,es,chimney,"""""""[{""""""""item_name"""""""": """"""""skateboard"""""""""""
REQ_2025_00000030,2025-10-26T16:38:27.423Z,CH_IL_65069,35.00158262262693,105.00329246246734,China,Africa/Cairo,"Santa, please bring me board game for Christmas. I really need it because I want to learn. I've been trying my best all year. From Jeffrey",TOYS,3,0.756,5,en,mailbox,"""""""[{""""""""item_name"""""""": """"""""board game"""""""""""
REQ_2025_00000982,2025-10-26T16:45:35.491Z,CH_TW_12104,39.32398234950481,-4.836431112147932,Spain,Asia/Jerusalem,"Dear Santa, I have been very trying my best this year. For Christmas, I would really like headphones and maybe robot. I promise to be kind to others. Love, Michael",ELECTRONICS,3,0.984,3,fr,chimney,"""""""[{""""""""item_name"""""""": """"""""headphones"""""""""""
REQ_2025_00000168,2025-10-26T17:38:46.622Z,CH_CU_61213,12.749905684692916,122.73356599795187,Philippines,Indian/Comoro,"Dear Santa, I have been very helpful this year. For Christmas, I would really like smartwatch and maybe tablet. I promise to do my homework. Love, Michael",ELECTRONICS,3,0.835,1,it,mailbox,"""""""[{""""""""item_name"""""""": """"""""smartwatch"""""""""""
REQ_2025_00000224,2025-10-26T18:43:29.114Z,CH_CU_31516,-20.639641697570756,161.21009861595257,New Caledonia,Asia/Aden,"Santa, please bring me action figure for Christmas. I really need it because my old one broke. I've been helpful all year. From Emma",TOYS,3,0.797,4,es,stocking,"""""""[{""""""""item_name"""""""": """"""""action figure"""""""""""
REQ_2025_00000160,2025-10-26T19:43:00.050Z,CH_PK_12134,38.62564179472109,70.81775111128059,Tajikistan,Europe/Podgorica,"Santa, please bring me drone for Christmas. I really need it because it would help me in school. I've been good all year. From Jesus",ELECTRONICS,3,0.65,2,ja,mailbox,"""""""[{""""""""item_name"""""""": """"""""drone"""""""""""
REQ_2025_00000153,2025-10-26T20:42:16.348Z,CH_RW_34523,-28.81855696275332,24.994513271065795,South Africa,Asia/Karachi,"Santa, please bring me rollerblades for Christmas. I really need it because I want to learn. I've been very good all year. From Nicholas",SPORTS,3,0.726,4,en,stocking,"""""""[{""""""""item_name"""""""": """"""""rollerblades"""""""""""
REQ_2025_00000149,2025-10-26T20:53:31.604Z,CH_ZA_98754,22.349783156832565,78.66825056186457,India,Europe/Budapest,"Santa, please bring me picture book for Christmas. I really need it because my old one broke. I've been good all year. From Amanda",BOOKS,3,0.92,2,fr,tree,"""""""[{""""""""item_name"""""""": """"""""picture book"""""""""""
REQ_2025_00000614,2025-10-26T22:17:52.320Z,CH_MX_46208,28.23638619101329,-177.36820815174283,United States Minor Outlying Islands,Europe/Oslo,"Santa, please bring me tennis racket for Christmas. I really need it because it would help me in school. I've been excellent all year. From Samantha",SPORTS,3,0.724,1,pt,chimney,"""""""[{""""""""item_name"""""""": """"""""tennis racket"""""""""""
REQ_2025_00000701,2025-10-26T23:04:31.243Z,CH_BJ_31087,-25.9504175,130.963656,Antarctica (the territory South of 60 deg S),Europe/Podgorica,"Hi Santa! My name is Paula and I am 9 years old. This year I want art supplies, science kit, and building blocks. I've been kind and helped my brother. Thank you!",CREATIVE,3,0.728,5,zh,mailbox,"""""""[{""""""""item_name"""""""": """"""""art supplies"""""""""""
