reindeer_id,reindeer_name,timestamp,heart_rate,altitude_feet,speed_mph,body_temperature,hoof_pressure_fl,hoof_pressure_fr,hoof_pressure_rl,hoof_pressure_rr,energy_efficiency,formation_position,cargo_weight_lbs,wind_speed_mph,visibility,aurora_interference,nose_luminosity,flight_status,training_type
DONNER-001,Donner,2025-10-26 15:55:30.978487,171,1330.6,101.2,98.4,113,114,122,111,0.896,7,3997,9,0.38,0.13,0.0,FLYING,formation
BLITZEN-001,Blitzen,2025-10-26 15:59:30.978487,145,1558.5,66.9,98.5,122,122,113,114,0.96,8,1171,7,0.73,0.03,0.0,FLYING,speed
RUDOLPH-001,Rudolph,2025-10-26 16:02:30.978487,153,4729.6,71.9,98.1,128,116,123,122,0.828,9,3196,0,0.76,0.36,92.5,FLYING,navigation
DANCER-001,Dancer,2025-10-26 16:07:30.978487,85,0.0,0.0,99.1,113,112,119,110,0.932,2,0,43,0.58,0.42,0.0,RESTING,navigation
CUPID-001,Cupid,2025-10-26 16:08:30.978487,148,1600.5,77.2,98.1,128,116,121,121,0.916,6,4439,50,0.35,0.59,0.0,FLYING,endurance
CUPID-001,Cupid,2025-10-26 16:10:30.978487,82,0.0,0.0,100.3,110,113,117,124,0.777,6,0,17,0.43,0.75,0.0,RESTING,weather
RUDOLPH-001,Rudolph,2025-10-26 16:13:30.978487,141,2227.8,115.4,99.0,112,114,110,114,0.978,9,4810,3,0.6,0.29,84.2,FLYING,speed
VIXEN-001,Vixen,2025-10-26 16:17:30.978487,179,2111.7,70.0,98.2,112,123,123,128,0.755,4,1934,8,0.39,0.23,0.0,FLYING,endurance
CUPID-001,Cupid,2025-10-26 16:20:30.978487,87,0.0,0.0,98.6,130,130,110,117,0.911,6,0,18,0.32,0.05,0.0,RESTING,endurance
CUPID-001,Cupid,2025-10-26 16:25:30.978487,180,2622.2,89.8,99.8,123,119,129,112,0.835,6,3417,43,0.84,0.28,0.0,FLYING,navigation
PRANCER-001,Prancer,2025-10-26 16:29:30.978487,148,2005.1,110.5,101.3,118,124,123,110,0.775,3,3273,3,0.84,0.64,0.0,FLYING,weather
