batch_id,toy_id,toy_name,toy_category,elf_team_id,production_timestamp,production_date,paint_quality,assembly_score,safety_check_passed,defect_count,materials_plastic_kg,materials_wood_kg,materials_metal_kg,materials_fabric_kg,production_time_minutes,predicted_popularity_score,carbon_footprint_kg,quality_tier,workshop_location,shift
BATCH_2025_000606,TOY_BUI_2201,Wooden Block Set,BUILDING,Team_B,2025-10-26 16:49:52.159657,2025-11-04,0.916,0.793,True,1,0.28,0.66,0.04,0.08,94.5,0.987,2.77,STANDARD,South_Workshop,AFTERNOON
BATCH_2025_000657,TOY_VEH_2958,Hot Wheels Track,VEHICLES,Team_H,2025-10-26 16:52:37.816188,2025-11-13,0.762,0.889,True,0,1.64,0.95,0.05,0.07,23.8,0.796,2.49,STANDARD,North_Workshop,NIGHT
BATCH_2025_000610,TOY_VEH_3516,Toy Airplane,VEHICLES,Team_I,2025-10-26 18:53:23.670960,2025-10-27,0.925,1.054,True,0,0.13,0.42,0.46,0.03,76.4,0.789,1.25,PREMIUM,East_Workshop,AFTERNOON
BATCH_2025_000394,TOY_BUI_1646,K'NEX Set,BUILDING,Team_I,2025-10-26 20:20:30.510944,2025-11-01,0.758,0.856,True,2,0.46,0.89,0.38,0.25,12.5,0.998,4.97,STANDARD,West_Workshop,AFTERNOON
BATCH_2025_000102,TOY_GAM_3111,Monopoly,GAMES,Team_D,2025-10-26 20:35:29.172221,2025-11-20,0.875,0.853,True,0,1.85,0.74,0.25,0.29,91.0,0.746,0.67,PREMIUM,South_Workshop,MORNING
BATCH_2025_000326,TOY_DOL_6209,Barbie Dreamhouse,DOLLS,Team_J,2025-10-26 22:00:32.988480,2025-11-01,0.848,0.786,True,0,0.48,0.01,0.15,0.28,69.6,0.627,4.07,STANDARD,South_Workshop,AFTERNOON
BATCH_2025_000494,TOY_BUI_5493,Wooden Block Set,BUILDING,Team_B,2025-10-26 22:27:52.006742,2025-11-06,1.034,0.96,True,0,0.63,0.28,0.15,0.15,36.2,0.851,2.17,PREMIUM,West_Workshop,MORNING
BATCH_2025_000675,TOY_BUI_9021,LEGO Castle Set,BUILDING,Team_B,2025-10-26 23:33:56.087908,2025-10-31,0.814,0.706,True,3,0.66,0.91,0.15,0.28,40.5,0.925,3.16,STANDARD,North_Workshop,AFTERNOON
BATCH_2025_000209,TOY_GAM_3818,Chess Set,GAMES,Team_B,2025-10-27 00:06:02.537814,2025-11-23,0.939,0.84,True,0,1.19,0.59,0.4,0.27,99.9,0.58,1.91,PREMIUM,North_Workshop,MORNING
BATCH_2025_000370,TOY_VEH_7821,Train Set,VEHICLES,Team_D,2025-10-27 00:39:15.215934,2025-10-29,0.762,0.801,True,3,0.14,0.82,0.22,0.19,38.1,0.774,4.65,STANDARD,North_Workshop,AFTERNOON
BATCH_2025_000714,TOY_BUI_4530,LEGO Castle Set,BUILDING,Team_J,2025-10-27 01:34:40.285047,2025-11-10,0.783,0.854,True,3,1.69,0.93,0.5,0.14,94.9,0.887,4.14,STANDARD,South_Workshop,MORNING
BATCH_2025_000453,TOY_DOL_1167,Baby Doll Set,DOLLS,Team_J,2025-10-27 01:39:09.117856,2025-11-24,0.707,0.779,True,3,0.5,0.5,0.01,0.18,116.5,0.944,4.86,ECONOMY,North_Workshop,MORNING
BATCH_2025_000304,TOY_EDU_7620,Microscope,EDUCATIONAL,Team_B,2025-10-27 02:03:51.615560,2025-11-16,0.831,0.728,True,3,1.82,0.45,0.37,0.09,102.3,0.85,2.25,STANDARD,West_Workshop,NIGHT
BATCH_2025_000862,TOY_GAM_4842,Video Game,GAMES,Team_I,2025-10-27 04:31:02.540916,2025-11-22,0.998,0.893,True,0,1.43,0.98,0.45,0.17,102.8,0.699,2.37,PREMIUM,North_Workshop,AFTERNOON
BATCH_2025_000318,TOY_GAM_4412,Chess Set,GAMES,Team_J,2025-10-27 04:48:02.931558,2025-10-26,0.782,0.837,True,2,1.92,0.76,0.38,0.12,11.7,0.559,4.01,ECONOMY,North_Workshop,MORNING
BATCH_2025_000183,TOY_EDU_5143,Microscope,EDUCATIONAL,Team_H,2025-10-27 04:57:16.024545,2025-10-29,0.649,0.755,True,1,0.79,0.94,0.4,0.21,42.6,0.562,2.27,ECONOMY,North_Workshop,MORNING
BATCH_2025_000834,TOY_GAM_9269,Monopoly,GAMES,Team_B,2025-10-27 05:16:18.621794,2025-10-29,0.923,0.954,True,1,0.88,0.52,0.3,0.07,102.1,0.547,2.49,STANDARD,North_Workshop,MORNING
BATCH_2025_000800,TOY_DOL_2976,Action Heroes,DOLLS,Team_E,2025-10-27 06:53:01.311334,2025-11-18,0.804,0.958,True,0,1.87,0.3,0.07,0.22,27.2,0.644,0.6,PREMIUM,South_Workshop,NIGHT
BATCH_2025_000252,TOY_EDU_2246,Microscope,EDUCATIONAL,Team_I,2025-10-27 07:02:17.365835,2025-11-20,0.7,0.79,True,1,1.45,0.38,0.18,0.2,14.7,0.582,1.49,STANDARD,North_Workshop,AFTERNOON
BATCH_2025_000302,TOY_GAM_8669,Monopoly,GAMES,Team_B,2025-10-27 07:32:16.145944,2025-11-22,0.843,0.777,True,3,0.25,0.42,0.28,0.17,43.2,0.522,1.58,STANDARD,South_Workshop,AFTERNOON
BATCH_2025_000743,TOY_DOL_8677,Action Heroes,DOLLS,Team_F,2025-10-27 08:34:54.758127,2025-11-22,0.953,0.975,True,0,1.45,0.62,0.4,0.24,19.8,0.712,2.88,PREMIUM,East_Workshop,MORNING
BATCH_2025_000785,TOY_BUI_7276,K'NEX Set,BUILDING,Team_E,2025-10-27 09:59:18.630735,2025-10-31,1.035,0.905,True,0,1.13,0.19,0.39,0.12,45.0,0.863,4.57,PREMIUM,West_Workshop,NIGHT
BATCH_2025_000233,TOY_GAM_5647,Video Game,GAMES,Team_G,2025-10-27 10:36:20.463719,2025-11-19,0.939,0.948,True,0,1.15,0.31,0.23,0.01,41.8,0.902,3.37,PREMIUM,South_Workshop,MORNING
BATCH_2025_000014,TOY_BUI_3906,K'NEX Set,BUILDING,Team_B,2025-10-27 11:08:09.700382,2025-11-21,0.787,0.633,True,3,1.43,0.98,0.28,0.12,65.3,0.963,0.82,ECONOMY,North_Workshop,MORNING
BATCH_2025_000454,TOY_BUI_9938,Wooden Block Set,BUILDING,Team_E,2025-10-27 11:15:33.679035,2025-11-06,0.933,0.879,True,0,0.28,0.05,0.19,0.1,112.0,0.693,1.19,PREMIUM,West_Workshop,MORNING
BATCH_2025_000588,TOY_EDU_3209,Coding Game,EDUCATIONAL,Team_A,2025-10-27 17:20:51.235424,2025-11-01,0.828,0.888,True,3,1.09,0.71,0.2,0.27,94.0,0.666,2.52,STANDARD,West_Workshop,AFTERNOON
BATCH_2025_000129,TOY_VEH_3305,Toy Airplane,VEHICLES,Team_H,2025-10-27 17:39:17.987391,2025-11-10,0.737,0.829,True,1,0.82,0.7,0.19,0.19,119.1,0.593,3.25,STANDARD,South_Workshop,MORNING
BATCH_2025_000319,TOY_GAM_2737,Monopoly,GAMES,Team_I,2025-10-27 19:00:25.925700,2025-11-14,0.88,0.859,True,3,1.12,1.0,0.22,0.0,25.4,0.951,4.56,STANDARD,South_Workshop,NIGHT
BATCH_2025_000841,TOY_VEH_2491,Hot Wheels Track,VEHICLES,Team_I,2025-10-27 19:08:03.800408,2025-11-17,0.893,0.852,True,3,1.82,0.87,0.31,0.27,103.5,0.834,2.52,STANDARD,East_Workshop,AFTERNOON
BATCH_2025_000447,TOY_EDU_9660,Robot Kit,EDUCATIONAL,Team_H,2025-10-27 19:25:24.185753,2025-11-03,0.872,0.91,True,0,1.54,0.78,0.31,0.01,12.3,0.644,1.01,PREMIUM,East_Workshop,MORNING
BATCH_2025_000255,TOY_GAM_1379,Puzzle 1000pc,GAMES,Team_E,2025-10-27 19:33:31.034162,2025-11-12,0.852,0.665,True,0,1.26,0.28,0.04,0.2,13.0,0.661,1.94,STANDARD,East_Workshop,NIGHT
